run,exploration ,mean_call_to_arrival,mean_assignment_to_arrival
1,1.0,30.48970549475799,24.829535032672123
2,1.0,29.91063772529484,24.838590568177953
3,1.0,30.4643403804556,24.913155090876565
4,1.0,30.704309302839974,24.876215173997107
5,1.0,30.444828481363935,24.953473260271537
6,1.0,30.30258806121277,24.999503066140058
7,1.0,30.699710044981067,24.886794081202645
8,1.0,29.982742115362502,24.73597452698001
9,1.0,30.69453151598788,24.81491967867286
10,1.0,30.153547056598317,24.825326138338607
11,0.6065761532401006,27.883619054808992,23.09883835468809
12,0.3679346296795588,25.699776100542646,20.679482954601642
13,0.22318037231484725,23.02866509438035,18.737576635548862
14,0.13537589171743386,20.821721599194113,17.39560149674535
15,0.08211578763940967,19.650807633053635,16.37044184494459
16,0.05,19.733566186541534,16.017315688586717
17,0.05,19.416065199895424,15.742205135060235
18,0.05,19.98583180114108,16.26783122860548
19,0.05,20.21062440150825,16.359988676958803
20,0.05,20.360153989656613,16.1824942913798
21,0.05,19.178175748531345,15.490423522369403
22,0.05,19.554843793000273,15.550443234990158
23,0.05,17.831446221400697,14.888975859740597
24,0.05,18.91277816460445,15.585267165286444
25,0.05,18.83669398100753,15.370847902455704
26,0.05,19.13745985606574,15.263441414747504
27,0.05,17.88914803472744,14.519043780603711
28,0.05,18.97044384278607,15.051327447043441
29,0.05,17.805717652890962,14.695449359971313
30,0.05,18.222245640054894,15.140070393363608
31,0.05,17.902284718324807,14.886954959355513
32,0.05,16.824147794231923,14.05536454114504
33,0.05,17.46809546153369,14.48717895564755
34,0.05,18.36010160336177,15.123358164713768
35,0.05,16.644347572797727,13.970820257691052
36,0.05,18.569475440555227,15.474809758211123
37,0.05,19.380544011529075,15.267384621202165
38,0.05,18.139799381173784,14.725533484174194
39,0.05,17.974239644348785,14.85485871441833
40,0.05,19.38719702581991,15.906572050312802
41,0.05,19.04792049333531,15.506361525445298
42,0.05,17.63400847942269,14.7146636446905
43,0.05,18.09395437686885,14.967764642657206
44,0.05,18.783716563596304,15.38290247688759
45,0.05,19.113281103873792,15.73014798923072
46,0.05,17.935817011760502,14.587596819020092
47,0.05,19.11624644849504,15.494096966667156
48,0.05,17.423286950574603,14.554614667245612
49,0.05,18.155471136032578,15.060483770819753
50,0.05,18.456521184990276,15.104981856491605
